dataset,feature_name,dtype,feature_role,source_tables,description
campaign_features,campaign_name,str,key,"donations, donation_allocations, social_media_posts",Campaign name
campaign_features,allocation_program_diversity,int64,numeric_feature,"donations, donation_allocations, social_media_posts",Allocation program diversity
campaign_features,avg_engagement_rate,float64,numeric_feature,"donations, donation_allocations, social_media_posts",Average engagement rate
campaign_features,avg_monetary_amount,float64,numeric_feature,"donations, donation_allocations, social_media_posts",Average monetary amount
campaign_features,boosted_post_count,int64,numeric_feature,"donations, donation_allocations, social_media_posts",Boosted post count
campaign_features,campaign_quarter,int32,numeric_feature,"donations, donation_allocations, social_media_posts",Campaign quarter
campaign_features,campaign_year,int32,numeric_feature,"donations, donation_allocations, social_media_posts",Campaign year
campaign_features,channel_diversity,int64,numeric_feature,"donations, donation_allocations, social_media_posts",Channel diversity
campaign_features,donation_count,int64,numeric_feature,"donations, donation_allocations, social_media_posts",Donation count
campaign_features,donation_type_diversity,int64,numeric_feature,"donations, donation_allocations, social_media_posts",Donation type diversity
campaign_features,linked_safehouse_count,int64,numeric_feature,"donations, donation_allocations, social_media_posts",Linked safehouse count
campaign_features,linked_social_post_count,int64,numeric_feature,"donations, donation_allocations, social_media_posts",Linked social post count
campaign_features,platform_mix,int64,numeric_feature,"donations, donation_allocations, social_media_posts",Platform mix
campaign_features,recurring_donation_share,float64,numeric_feature,"donations, donation_allocations, social_media_posts",Recurring donation share
campaign_features,resident_story_post_count,int64,numeric_feature,"donations, donation_allocations, social_media_posts",Resident story post count
campaign_features,social_referred_donation_count,int64,numeric_feature,"donations, donation_allocations, social_media_posts",Social referred donation count
campaign_features,total_allocated_amount,float64,numeric_feature,"donations, donation_allocations, social_media_posts",Total allocated amount
campaign_features,total_click_throughs,int64,numeric_feature,"donations, donation_allocations, social_media_posts",Total click throughs
campaign_features,total_donation_referrals,int64,numeric_feature,"donations, donation_allocations, social_media_posts",Total donation referrals
campaign_features,total_engagement,int64,numeric_feature,"donations, donation_allocations, social_media_posts",Total engagement
campaign_features,total_estimated_donation_value_php,float64,numeric_feature,"donations, donation_allocations, social_media_posts",Total estimated donation value php
campaign_features,total_impressions,int64,numeric_feature,"donations, donation_allocations, social_media_posts",Total impressions
campaign_features,total_monetary_amount,float64,numeric_feature,"donations, donation_allocations, social_media_posts",Total monetary amount
campaign_features,total_reach,int64,numeric_feature,"donations, donation_allocations, social_media_posts",Total reach
campaign_features,total_resolved_value,float64,numeric_feature,"donations, donation_allocations, social_media_posts",Total resolved value
campaign_features,unique_supporter_count,int64,numeric_feature,"donations, donation_allocations, social_media_posts",Unique supporter count
campaign_features,campaign_month,datetime64[us],time_index,"donations, donation_allocations, social_media_posts",Campaign month
post_features,call_to_action_type,str,categorical_feature,social_media_posts,Call to action type
post_features,content_topic,str,categorical_feature,social_media_posts,Content topic
post_features,created_at,datetime64[us],categorical_feature,social_media_posts,Created at
post_features,day_of_week,str,categorical_feature,social_media_posts,Day of week
post_features,donation_referrals_per_100_clicks,object,categorical_feature,social_media_posts,Donation referrals per 100 clicks
post_features,estimated_donation_value_per_click,object,categorical_feature,social_media_posts,Estimated donation value per click
post_features,media_type,str,categorical_feature,social_media_posts,Media type
post_features,platform,str,categorical_feature,social_media_posts,Platform
post_features,post_type,str,categorical_feature,social_media_posts,Post type
post_features,sentiment_tone,str,categorical_feature,social_media_posts,Sentiment tone
post_features,features_resident_story,bool,flag,social_media_posts,Features resident story
post_features,has_call_to_action,bool,flag,social_media_posts,Has call to action
post_features,has_campaign_link,bool,flag,social_media_posts,Has campaign link
post_features,is_boosted,bool,flag,social_media_posts,Is boosted
post_features,is_video_or_reel,bool,flag,social_media_posts,Is video or reel
post_features,is_weekend_post,bool,flag,social_media_posts,Is weekend post
post_features,campaign_name,str,key,social_media_posts,Campaign name
post_features,post_id,int64,key,social_media_posts,Post id
post_features,label_donation_referral_positive,bool,label,social_media_posts,Label donation referral positive
post_features,label_estimated_donation_value_php,float64,label,social_media_posts,Label estimated donation value php
post_features,avg_view_duration_seconds,float64,numeric_feature,social_media_posts,Average view duration seconds
post_features,boost_budget_per_1k_impressions,float64,numeric_feature,social_media_posts,Boost budget per 1k impressions
post_features,boost_budget_php,float64,numeric_feature,social_media_posts,Boost budget php
post_features,caption_length,int64,numeric_feature,social_media_posts,Caption length
post_features,click_through_rate,float64,numeric_feature,social_media_posts,Click through rate
post_features,click_throughs,int64,numeric_feature,social_media_posts,Click throughs
post_features,comments,int64,numeric_feature,social_media_posts,Comments
post_features,days_since_previous_post_on_platform,float64,numeric_feature,social_media_posts,Days since previous post on platform
post_features,donation_referrals,int64,numeric_feature,social_media_posts,Donation referrals
post_features,engagement_per_1k_reach,float64,numeric_feature,social_media_posts,Engagement per 1k reach
